0,1,2,3,4,5,6,7;1,1;
0,2,1,3,4,5,6,7;1,1;
0,2,1,3,4,5,6,7;1,2;
0,2,3,1,4,5,6,7;1,1;
0,2,3,1,4,5,6,7;1,3;
0,2,3,1,4,5,6,7;1,2;
0,2,3,4,1,5,6,7;1,1;
0,2,4,3,1,5,6,7;1,3;
0,2,4,3,1,5,6,7;1,4;
0,2,4,3,1,5,6,7;1,2;
0,2,4,3,5,1,6,7;1,1;
0,2,4,3,5,1,6,7;1,5;
0,2,4,3,5,1,6,7;1,3;
0,2,4,3,5,1,6,7;1,4;
0,2,4,3,5,1,6,7;1,2;
0,2,4,3,5,6,1,7;1,1;
0,2,4,3,6,5,1,7;1,5;
0,2,4,6,3,5,1,7;1,3;
0,2,4,6,3,5,1,7;1,6;
0,2,4,6,3,5,1,7;1,4;
0,2,4,6,3,5,1,7;1,2;
0,2,4,6,3,5,7,1;1,1;
0,2,4,6,3,5,7,1;1,7;
0,2,4,6,3,5,7,1;1,5;
0,2,4,6,3,5,7,1;1,3;
0,2,4,6,3,5,7,1;1,6;
0,2,4,6,3,5,7,1;1,4;
0,2,4,6,3,5,7,1;1,2;
